2026-03-14 15:03:20.007862,1,808.19
2026-03-14 15:03:21.257910,1,808.22
2026-03-14 15:03:22.507731,1,808.24
2026-03-14 15:03:23.710989,1,8.51
2026-03-14 15:03:24.914342,1,9.9
2026-03-14 15:03:26.164511,1,808.2
2026-03-14 15:03:27.414985,1,808.2
2026-03-14 15:03:28.665422,1,808.16
2026-03-14 15:03:29.869694,1,16.76
2026-03-14 15:03:31.073952,1,16.41
2026-03-14 15:03:32.278614,1,10.23
2026-03-14 15:03:33.481671,1,1.66
2026-03-14 15:03:34.684916,1,1.66
2026-03-14 15:03:35.888429,1,3.0
2026-03-14 15:57:00.804080,1,2.02
2026-03-14 15:57:02.007024,1,2.02
2026-03-14 15:57:03.209856,1,2.01
2026-03-14 15:57:04.412678,1,1.98
2026-03-14 15:57:05.615672,1,5.26
2026-03-14 15:57:06.818731,1,5.26
2026-03-14 15:57:08.022038,1,5.26
2026-03-14 15:57:09.225292,1,5.27
2026-03-14 15:57:56.929069,1,5.24
2026-03-14 15:57:58.132199,1,5.29
2026-03-14 15:57:59.335171,1,5.26
2026-03-14 15:58:00.538358,1,5.26
2026-03-14 15:58:01.741748,1,10.59
2026-03-14 15:58:02.944888,1,2.27
2026-03-14 15:58:04.148038,1,2.03
2026-03-14 15:58:05.351113,1,1.66
2026-03-14 15:58:06.554254,1,3.29
2026-03-14 15:58:07.758352,1,19.76
2026-03-14 15:58:08.963383,1,35.44
2026-03-14 15:58:10.168459,1,35.48
2026-03-14 15:58:11.373452,1,33.88
2026-03-14 15:58:12.578451,1,34.67
2026-03-14 15:58:13.783446,1,35.21
2026-03-14 15:58:14.988494,1,35.16
2026-03-14 15:58:16.193566,1,34.41
2026-03-14 15:58:17.397502,1,16.4
2026-03-14 15:58:18.600687,1,3.97
2026-03-14 15:58:19.803928,1,3.98
2026-03-14 15:58:21.007120,1,3.93
2026-03-14 15:58:22.210648,1,3.96
2026-03-14 15:58:23.413846,1,3.99
2026-03-14 15:58:24.617059,1,3.97
2026-03-14 15:58:25.820351,1,3.96
2026-03-14 15:58:27.023606,1,4.01
2026-03-14 15:58:28.226954,1,3.93
2026-03-14 15:58:29.430145,1,3.97
2026-03-14 15:58:30.633380,1,3.95
2026-03-14 15:58:31.836503,1,3.95
2026-03-14 15:58:33.039710,1,3.96
2026-03-14 15:58:34.242987,1,3.95
2026-03-14 15:58:35.446226,1,3.95
2026-03-14 15:58:36.649425,1,3.96
2026-03-14 15:58:37.852573,1,3.97
2026-03-14 15:58:39.055771,1,3.97
2026-03-14 15:58:40.259034,1,3.95
2026-03-14 15:58:41.462212,1,3.97
2026-03-14 15:58:42.665400,1,3.97
pi@raspberrypi:~ $
